Reporting period end,Subject,Category,Data Item,Class of business group,Class of business category,Class of business,Reporting year basis,Accident/underwriting year,Development year,Value,Notes
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2020,0,2864000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2019,1,2719000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2018,2,2481000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2017,3,2232000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2016,4,2093000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2015,5,2192000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2014,6,2113000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2013,7,2059000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2012,8,1995000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2011,9,1845000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2010,10,1721000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2020,0,10314000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2019,1,9990000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2018,2,9345000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2017,3,8719000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2016,4,8286000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2015,5,7987000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2014,6,7809000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2013,7,7378000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2012,8,6923000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2011,9,6594000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2010,10,6177000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2020,0,5589000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2019,1,4971000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2018,2,4407000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2017,3,4150000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2016,4,3988000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2015,5,3853000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2014,6,3952000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2013,7,4058000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2012,8,3832000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2011,9,3405000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2010,10,3050000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2020,0,9709000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2019,1,9208000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2018,2,8661000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2017,3,8328000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2016,4,8034000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2015,5,7838000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2014,6,7605000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2013,7,7016000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2012,8,6215000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2011,9,5404000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2010,10,4720000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2020,0,118000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2019,1,107000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2018,2,101000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2017,3,106000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2016,4,109000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2015,5,112000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2014,6,113000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2013,7,124000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2012,8,121000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2011,9,124000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Aviation,Accident year,2010,10,121000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2020,0,165000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2019,1,246000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2018,2,309000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2017,3,350000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2016,4,378000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2015,5,385000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2014,6,374000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2013,7,353000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2012,8,319000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2011,9,300000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Consumer credit,Accident year,2010,10,264000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2020,0,664000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2019,1,624000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2018,2,582000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2017,3,586000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2016,4,530000000,
12/31/2020,Gross,Premium,Gross earned premium by class of business,Direct business,Other,Marine,Accident year,2015,5,512000000,
