Accident/underwriting year,Development year,sum(claim_cost)
2002,2012,68000.0
2003,2012,67047.61904761905
2003,2013,66619.04761904762
2004,2012,79150.0
2004,2013,78900.0
2004,2014,79550.0
2005,2012,85368.42105263157
2005,2013,84789.47363157895
2005,2014,84789.47363157895
2005,2015,85894.73684210527
2006,2012,94166.66666666667
2006,2013,94000.0
2006,2014,93777.77777777778
2006,2015,93777.77777777778
2006,2016,94722.22222222222
2007,2012,93722.22222222222
2007,2013,94166.66666666667
2007,2014,95500.0
2007,2015,95500.0
2007,2016,94222.22222222222
2007,2017,93611.11111111111
2008,2012,99611.11111111111
2008,2013,100333.33333333333
2008,2014,100000.0
2008,2015,99277.77777777778
2008,2016,97944.44444444444
2008,2017,98277.77777777778
2008,2018,99555.55555555556
2009,2012,102894.73684210527
2009,2013,103684.21052631579
2009,2014,103052.63157894737
2009,2015,102684.21052631579
2009,2016,101105.26315789473
2009,2017,99157.8947368421
2009,2018,100631.57894736843
2009,2019,100473.68421052632
2010,2012,98666.66666666667
2010,2013,100368.42105263157
2010,2014,99894.73684210527
2010,2015,99052.63157894737
2010,2016,97789.47363157895
2010,2017,97473.68421052632
2010,2018,97631.57894736843
2010,2019,97368.42105263157
2010,2020,97421.05263157895
2011,2012,88000.0
2011,2013,94400.0
2011,2014,100600.0
2011,2015,99150.0
2011,2016,96600.0
2011,2017,95650.0
2011,2018,95550.0
2011,2019,95050.0
2011,2020,95250.0
2012,2012,77333.33333333333
2012,2013,92100.0
2012,2014,103600.0
2012,2015,104095.23809523809
2012,2016,101190.47614285714
2012,2017,100190.47614285714
2012,2018,100142.85714285714
2012,2019,91478.26086956522
2012,2020,91347.82608695653
2013,2013,75062.5
2013,2014,94333.33333333333
2013,2015,101714.28571428571
2013,2016,97818.18181818182
2013,2017,94318.18181818182
2013,2018,93136.36363636363
2013,2019,93272.72727272728
2013,2020,93136.36363636363
2014,2014,84823.5294117647
2014,2015,97500.0
2014,2016,102818.18181818182
2014,2017,98913.04347826086
2014,2018,96347.82608695653
2014,2019,94304.34782608696
2014,2020,98363.63636363637
2015,2015,66863.63636363637
2015,2016,89833.33333333333
2015,2017,91750.0
2015,2018,90400.0
2015,2019,90320.0
2015,2020,93041.66666666667
2016,2016,80238.09523809524
2016,2017,89576.92307692308
2016,2018,89296.29629629629
2016,2019,94962.96296296296
2016,2020,99923.07692307692
2017,2017,70181.81818181818
2017,2018,76285.71428571429
2017,2019,83310.3448275862
2017,2020,99037.03703703704
2018,2018,46409.09090909091
2018,2019,61851.851851851854
2018,2020,80000.0
2019,2019,49857.142857142855
2019,2020,66560.0
2020,2020,63352.94117647059
