Accident/underwriting year,Development year,sum(Value)
2012,2012,1160000000
2007,2013,1695000000
2010,2017,1852000000
2015,2017,2202000000
2017,2020,2674000000
2008,2016,1763000000
2014,2018,2216000000
2005,2015,1632000000
2014,2014,1442000000
2004,2012,1583000000
2012,2020,2101000000
2013,2015,2136000000
2012,2016,2125000000
2007,2017,1685000000
2004,2014,1591000000
2006,2013,1692000000
2003,2013,1399000000
2018,2019,1670000000
2017,2017,1544000000
2009,2012,1955000000
2006,2012,1695000000
2014,2019,2169000000
2008,2014,1800000000
2003,2012,1408000000
2007,2016,1696000000
2018,2018,1021000000
2016,2018,2411000000
2013,2013,1201000000
2008,2018,1792000000
2014,2015,2145000000
2008,2017,1769000000
2011,2014,2012000000
2019,2020,1664000000
2013,2016,2152000000
2006,2016,1705000000
2007,2015,1719000000
2013,2019,2052000000
2010,2016,1858000000
2012,2019,2104000000
2015,2019,2258000000
2015,2015,1471000000
2010,2015,1882000000
2005,2013,1611000000
2010,2019,1850000000
2011,2013,1888000000
2011,2015,1983000000
2011,2019,1901000000
2009,2019,1909000000
2019,2019,1047000000
2009,2018,1912000000
2013,2020,2049000000
2016,2016,1685000000
2009,2015,1951000000
2013,2017,2075000000
2014,2017,2275000000
2009,2014,1958000000
2008,2015,1787000000
2005,2012,1622000000
2013,2018,2049000000
2011,2016,1932000000
2011,2018,1911000000
2010,2018,1855000000
2006,2015,1688000000
2014,2016,2262000000
2016,2017,2329000000
2016,2020,2598000000
2014,2020,2164000000
2004,2013,1578000000
2011,2017,1913000000
2010,2020,1851000000
2015,2018,2260000000
2020,2020,1077000000
2010,2013,1907000000
2010,2012,1776000000
2009,2016,1921000000
2012,2013,1842000000
2008,2013,1806000000
2008,2012,1793000000
2007,2012,1687000000
2012,2014,2072000000
2009,2013,1970000000
2010,2014,1898000000
2012,2015,2186000000
2012,2017,2104000000
2013,2014,1981000000
2002,2012,1564000000
2017,2019,2416000000
2015,2016,2156000000
2007,2014,1719000000
2006,2014,1688000000
2011,2012,1672000000
2015,2020,2233000000
2018,2020,2160000000
2012,2018,2103000000
2017,2018,2136000000
2011,2020,1905000000
2016,2019,2564000000
2005,2014,1611000000
2009,2017,1884000000
